check_id,check_name,source_artifact,required_condition,failure_action,blocking,notes
PF001,contract_export_exists,contract_field_export.csv,file exists and parses as CSV,stop_preflight,true,"No fallback contract is allowed."
PF002,validation_summary_passed,validation_summary.csv,all blocking validation checks pass,stop_preflight,true,"Must not ignore failed validation."
PF003,execution_01a_authorized_false_confirmed,claim_boundary,execution_01a_authorized=false,stop_if_not_false,true,"Preflight is not execution authorization."
PF004,claim_boundaries_confirmed,claim_boundary,physical and mechanism claims blocked,stop_preflight,true,"No claim release."
PF005,placeholder_gate_checked,explicit_placeholder_gate.csv,all placeholders classified,stop_preflight,true,"No silent placeholder conversion."
PF006,lag_class_handoff_schema_valid,lag_class_handoff.csv,required lag handoff fields present,stop_preflight,true,"No lag inference."
PF007,randomization_policy_declared,control_policy_export.csv,randomization eligibility declared or controls disabled,stop_random_control_arms,true,"Random controls cannot run with placeholders."
PF008,trial_count_policy_declared,control_policy_export.csv,trial count positive integer or controls disabled,stop_random_control_arms,true,"Trial count overreach guard."
PF009,seed_policy_declared,control_policy_export.csv,seed policy immutable or controls disabled,stop_random_control_arms,true,"Seed stability guard."
PF010,K_candidate_hash_gate_checked,contract_field_export.csv,existing K export hash equals expected hash,stop_preflight,true,"Hash check only; no scientific recomputation."
PF011,pair_basis_identity_checked,contract_field_export.csv,pair basis path and identity match contract export,stop_preflight,true,"Prevents pair basis drift."
PF012,hidden_state_guard_checked,dry_run_manifest.json,no implicit notebook environment DWH or session state,stop_preflight,true,"No hidden state."
PF013,no_dwh_write_confirmed,future preflight command list,no DWH write command present,stop_preflight,true,"DWH remains untouched."
PF014,no_claim_release_confirmed,future preflight outputs,claim release fields remain blocked,stop_preflight,true,"No physics or mechanism release."
