global_node_id,node_id,system_id,atom_label,hybridization_label,hydrogen_count_metadata,saturation_label,pi_system_label,sigma_framework_label,topology_class,x_ref,y_ref,z_ref,claim_role
ethyne:Eth_00,Eth_00,ethyne,C,sp,1,unsaturated,linear_triple_bond_pi_pair,linear_sigma_axis,linear_sp_carbon_wire,-0.5,0.0,0.0,synthetic_reference_control_only
ethyne:Eth_01,Eth_01,ethyne,C,sp,1,unsaturated,linear_triple_bond_pi_pair,linear_sigma_axis,linear_sp_carbon_wire,0.5,0.0,0.0,synthetic_reference_control_only
benzene:Bz_00,Bz_00,benzene,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,1.0,0.0,0.0,synthetic_reference_control_only_from_DATA02A
benzene:Bz_01,Bz_01,benzene,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,0.5,0.866025403784,0.0,synthetic_reference_control_only_from_DATA02A
benzene:Bz_02,Bz_02,benzene,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,-0.5,0.866025403784,0.0,synthetic_reference_control_only_from_DATA02A
benzene:Bz_03,Bz_03,benzene,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,-1.0,0.0,0.0,synthetic_reference_control_only_from_DATA02A
benzene:Bz_04,Bz_04,benzene,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,-0.5,-0.866025403784,0.0,synthetic_reference_control_only_from_DATA02A
benzene:Bz_05,Bz_05,benzene,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,0.5,-0.866025403784,0.0,synthetic_reference_control_only_from_DATA02A
c60:C60_00,C60_00,c60,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.201774106168,0.979432085486,0.0,synthetic_reference_control_only_from_DATA02A
c60:C60_01,C60_01,c60,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.403548212335,0.854728829825,0.326477361829,synthetic_reference_control_only_from_DATA02A
