essential_item,review_decision,evidence_confidence,implementation_readiness,required_action
target_source_artifacts_identified,approved_with_note,high,ready_after_nonblocking_notes,"Finalize exact created file names under scoped module."
patch_scope_minimal_and_auditable,approved_with_note,high,ready_after_nonblocking_notes,"Keep wrapper/export/harness scope only."
K_only_callable_interface_defined,approved,high,ready_for_implementation,"Implement callable interface."
callable_inputs_outputs_defined,approved,high,ready_for_implementation,"Implement required args and outputs."
hidden_state_policy_defined,approved,high,ready_for_implementation,"Enforce dry-run no-hidden-state manifest."
contract_field_export_schema_defined,approved,high,ready_for_implementation,"Implement contract_field_export schema."
pair_duplicate_missing_policy_export_defined,approved_with_note,medium,ready_after_nonblocking_notes,"Expose declaration points and fail if unset."
lag_class_handoff_export_defined,approved_with_note,medium,ready_after_nonblocking_notes,"Expose lag handoff export and fail if definition unset."
matrix_rule_numerical_policy_export_defined,approved_with_note,medium,ready_after_nonblocking_notes,"Expose rank/metric declaration points."
random_seed_declaration_defined,approved_with_note,medium,ready_after_nonblocking_notes,"Expose seed declaration point and guard."
trial_count_declaration_defined,approved_with_note,medium,ready_after_nonblocking_notes,"Expose trial-count declaration point and guard."
validation_harness_defined,approved,high,ready_for_implementation,"Implement validation harness."
baseline_reproducibility_check_defined,approved,high,ready_for_implementation,"Implement K hash or reviewed similarity check."
CSV_schema_checks_defined,approved,high,ready_for_implementation,"Implement schema checks."
claim_boundary_checks_defined,approved,high,ready_for_implementation,"Preserve claim boundary validation."
future_implementation_prompt_skeleton_safe,approved,high,ready_for_implementation,"Use skeleton with forbidden-scope guards."
source_code_modification_scope_limited,approved_with_note,high,ready_after_nonblocking_notes,"Prefer new scoped module; do not mutate historical runner unless reviewed."

