public_claim_id,public_statement,status,support_basis,required_boundary,forbidden_overclaim,recommended_use,risk_level,notes
"P01_methodical_bridge_map","The current QSB bridge-synthesis work organizes existing artifacts into a methodical bridge-synthesis map.","public_safe_with_boundary","02B Masterchat Integration Note; 02A Result Summary; 01F Documentation-Ready Synthesis Map","Documentation-level map only; not a physical proof and not a stronger thesis than 02A/02B.","QSB is proven; spacetime emergence is shown; integrated bridge map is a physical thesis.","README-adjacent overview; project page; cautious external summary","low","Public-safe if paired with the boundary."
"P02_methodically_visible_structures","Recurrent diagnostic, gate, proxy, null-boundary, replay-ladder, control-extension, and gap-register structures are visible as methodically visible properties of the current correlation-bridge workstream.","public_safe_with_boundary","02A Result Summary; 02A claim register; 02B Integration Note","Methodically visible properties only; no physical proof, no global non-genericity, and no metric reconstruction.","Physical emergence is shown; global non-genericity is established; physical geometry is reconstructed.","Public cautious summary; internal-to-external bridge paragraph","medium","Medium risk because readers may overread visible structure as physical evidence."
"P03_correlation_to_distance_anchor","The mathematical anchor K_ij = <psi_i | psi_j> and d_ij = -l0 * log(|K_ij|) names a conceptual correlation-to-distance bridge.","public_safe_with_boundary","02B mathematical anchor; 02C public summary","The formulas serve here as a conceptual anchor; they do not reconstruct physical geometry, recover a physical metric, derive causal structure, or prove spacetime emergence.","A physical metric has been recovered; physical geometry is reconstructed; causal structure has been derived; proof of emergent spacetime.","Public explanation with nearby boundary text","high","High risk because formulas can be mistaken for a completed physical reconstruction."
"P04_c60_as_testbed","C60 is used as a controlled testbed for gate discipline in candidate localization, isomorphism, role transport, node/edge agreement, and replay-related checks.","public_safe_with_boundary","02A C60 gate discipline; 02B integration note; 01E conservative readout","C60 is a controlled testbed, not the target; near_distance=0 is not identity or isomorphism; role transport follows only from explicit gates.","C60 is the target; near_distance=0 implies identity or isomorphism; role transport follows from near-distance alone.","Public FAQ or method overview","medium","Public-safe if C60 is not presented as the theory target."
"P05_geometry_proxy_as_proxy","Geometry-proxy language means graph-diagnostic proxy behavior, not reconstructed physical geometry.","public_safe_with_boundary","02A geometry-proxy readout; 01F documentation map; 01E conservative readout","Geometry Proxy remains Proxy; no physical geometry, physical metric, causal structure, or spacetime geometry follows.","Physical geometry is reconstructed; a physical metric has been recovered; causal structure has been derived.","Public method note; glossary-style explanation","medium","Useful because it prevents proxy language from becoming geometry proof language."
"P06_null_controls_are_family_bounded","Null families and controls provide family-bounded controls that limit interpretation but do not universally exclude all null explanations.","public_safe_with_boundary","02A null-family boundary; 01F documentation map; 01E conservative readout","Family-bounded controls only; no global non-genericity follows.","Global non-genericity is established; all null explanations are excluded.","Public limitations section; method caveat","low","This is a conservative control statement."
"P07_replay_is_ladder","Replay certification is a ladder with distinct levels, not a binary full-certification claim.","public_safe_with_boundary","02A replay ladder; 02B integration note; 01F documentation map","Stage3A DRY_RUN_READY is not full replay; G5G2 per-index photo agreement is not full raw-order certification; full certification requires separate full replay and enumerator-rerun support.","Stage3A is full replay; G5G2 photo agreement is full raw-order certification; partial certification is full certification.","Public limitations section; internal-to-public status note","medium","Medium risk because certification language is easy to overcompress."
"P08_gap_markers_no_evidence_load","Gap-only and concept-only markers do not carry evidence in the synthesis until they are source-bound.","public_safe_as_limitation","02A gap-marker exclusion; 02B open gaps; 01E conservative readout","No evidence load until source-bound; gap markers remain gap-register or vocabulary items.","Gap-only markers support geometry, spectral, statistical, or correlation claims.","Public limitations section; gap register summary","low","Names the boundary without promoting the gap markers."
"P09_not_a_proof_of_spacetime_emergence","The current bridge synthesis is not a proof of spacetime emergence, not a reconstruction of physical geometry, and not a final physical theory.","public_safe_as_limitation","02A Claim Boundary; 02B Claim Boundary; 02C public summary","Limitation statement; should stay attached to public-facing descriptions of the current synthesis.","Spacetime emergence is shown; Theory of Everything; final theory; proof of emergent spacetime.","Public summary; abstract-adjacent caveat; project page caveat","low","Explicit negative claim required for public-cautious use."
"P10_public_short_paragraph","The current QSB bridge-synthesis work organizes existing artifacts into a methodical bridge-synthesis map. It identifies recurrent diagnostic, gate, proxy, null-boundary, replay-ladder, control-extension, and gap-register structures as methodically visible properties of the current correlation-bridge workstream. This is a cautious documentation-level readout, not a proof of spacetime emergence or a reconstruction of physical geometry.","public_safe_with_boundary","02C Suggested public wording; 02B integration note; 02A result summary","Use as a short paragraph only with the final limitation sentence intact.","QSB is proven; spacetime emergence is shown; physical geometry is reconstructed; integrated bridge map is a physical thesis.","README-adjacent summary; project page; cautious external communication","medium","Recommended public paragraph from the 02C summary."
