source,target,weight,edge_family,relation_type,source_family,target_family,evidence_tag,comment
ring_p_m3,ring_p_m2,0.204476654687,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_m1,0.157026508674,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_1,0.167810194774,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_2,0.179016460327,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_3,0.226444550851,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_1_1,0.164650563781,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_1_2,0.180775424741,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_2_1,0.179426208868,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_2_1_1,0.27089708172,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_2_2_1,0.36027920732,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_2_1_2,0.173250599332,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_2_2,0.184063513532,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_303,Covariance-preserving nullmodel full similarity graph
