node_id,node_family,node_label,L_major_raw,L_minor_raw,m_ref_raw,feature_mode_frequency,feature_length_scale,origin_tag,comment,nullmodel_seed
ring_p_m3,RING,p=-3,2.44391585959,1,5.55855585578,1.14884435881,0.471005530421,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
ring_p_m2,RING,p=-2,1.62287038225,1,4.0198595057,-1.48033784288,0.739557817819,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
ring_p_m1,RING,p=-1,1.82984717844,1,6.52843616164,1.77258113911,0.76827282626,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
ring_p_1,RING,p=1,2.00918900126,1,5.87915029874,4.67506803902,0.375710300972,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
ring_p_2,RING,p=2,1.21181819787,1,3.25759898819,0.603033460048,0.71680797104,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
ring_p_3,RING,p=3,1.09590562322,1,2.05119225018,1.18482160425,0.599532697795,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_1_1_1,CAVITY,"[1, 1, 1]",1.0157032397,1,1e-09,7.2026749689,0.396267333032,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_1_1_2,CAVITY,"[1, 1, 2]",0.863597889879,1,2.8531220984,5.12358096536,0.173627859317,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_1_2_1,CAVITY,"[1, 2, 1]",2.09907293288,1,4.24391248355,-0.824398777647,0.800050328452,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_2_1_1,CAVITY,"[2, 1, 1]",2.17436144906,1,5.54027944909,0.169687051623,0.550319557234,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_2_2_1,CAVITY,"[2, 2, 1]",1.30042211135,1,3.04596632501,6.7739212284,0.215481939501,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_2_1_2,CAVITY,"[2, 1, 2]",1.79475542951,1,5.54414399854,3.35399415137,0.462889898334,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_1_2_2,CAVITY,"[1, 2, 2]",0.98647537917,1,1.0387454669,2.49446446252,0.278308488457,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
cavity_2_2_2,CAVITY,"[2, 2, 2]",1.2317964311,1,4.52627599937,-3.28827847526,0.793164302653,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_0_1,MEMBRANE,"[0, 1]",1.49664080824,1,4.16284003343,1.22648402121,0.265219743231,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_1_1,MEMBRANE,"[1, 1]",2.18939163928,1,4.40952755055,5.61252242172,0.303154951458,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_2_1,MEMBRANE,"[2, 1]",1.07313177412,1,1.82847032386e-05,3.6879401966,0.30309699369,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_0_2,MEMBRANE,"[0, 2]",1.33532103439,1,4.69340996929,4.8336524915,0.0106923905535,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_3_1,MEMBRANE,"[3, 1]",1.57703963349,1,3.7647378758,4.19215910069,0.0614964228762,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_1_2,MEMBRANE,"[1, 2]",2.23121823913,1,5.02221728973,4.15790457008,0.289763709075,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_2_2,MEMBRANE,"[2, 2]",0.725307796072,1,1e-09,2.29394787007,0.521958454764,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
membrane_0_3,MEMBRANE,"[0, 3]",1.25277955339,1,4.67537305155,2.27160339033,0.515732183902,BMC11_cov_null_seed_101,Covariance-preserving multivariate Gaussian nullmodel row,101
ring_p_m3,RING,p=-3,0.959249527725,1,3.11269023216,3.26357531931,0.142607663161,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
ring_p_m2,RING,p=-2,0.456622825798,1,2.7108180898,-0.659989285287,0.200463812686,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
ring_p_m1,RING,p=-1,1.42192493663,1,4.46743678842,6.49200397783,0.26858322558,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
ring_p_1,RING,p=1,0.476322968285,1,0.338010733647,-1.6684604327,0.461567103233,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
ring_p_2,RING,p=2,0.701669655919,1,0.820251946893,2.14982516099,0.557200089812,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
ring_p_3,RING,p=3,1.35141149589,1,3.95834005954,2.66886915971,0.392684210236,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
cavity_1_1_1,CAVITY,"[1, 1, 1]",1.59092464408,1,3.26863158962,-3.03060536655,0.839512709199,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
cavity_1_1_2,CAVITY,"[1, 1, 2]",1.09675401389,1,2.76704697278,7.77149462015,1e-09,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
cavity_1_2_1,CAVITY,"[1, 2, 1]",1.63282660807,1,2.76892756934,2.75807580711,0.550732479509,BMC11_cov_null_seed_202,Covariance-preserving multivariate Gaussian nullmodel row,202
