block_id,source_path,test_family,control_axis,null_family_or_control_family,preserved_variables,broken_or_varied_variables,primary_marker,secondary_markers,status_or_interpretation_label,normalization_status,claim_boundary,open_gap,notes
"BMC14","runs/BMC-14/null_model_feature_control_open/bmc14_null_distribution_summary.csv","feature_randomized_nulls","feature_randomization","featurewise_permutation","individual feature distributions;node count;feature names","within-row feature combinations;feature correlations;specific feature-to-node assignment","core_edge_containment","shared_edges;recovery_fraction","observed_core_recovery_fraction rows present","source_column_bound","Null family comparison only; no global non-genericity claim.","Preserved/broken variables are from result-note description, not CSV columns.","CSV binds null_model_id, metric, replicate_count, observed/null summaries."
"BMC14","runs/BMC-14/null_model_feature_control_open/bmc14_null_distribution_summary.csv","feature_randomized_nulls","feature_randomization","rowwise_vector_permutation","within-row feature correlations;joint feature vectors;feature marginal distributions","node assignment of complete feature vectors","core_edge_containment","shared_edges;recovery_fraction","observed_core_recovery_fraction rows present","source_column_bound","Null family comparison only; no global non-genericity claim.","Preserved/broken variables are from result-note description, not CSV columns.","CSV binds null_model_id, metric, replicate_count, observed/null summaries."
"BMC14","runs/BMC-14/null_model_feature_control_open/bmc14_null_distribution_summary.csv","feature_randomized_nulls","feature_randomization","family_preserving_row_permutation","node_family structure;within-family feature-vector pool;within-row feature correlations","specific node-to-feature assignment inside each family","core_edge_containment","shared_edges;recovery_fraction","observed_core_recovery_fraction rows present","source_column_bound","Null family comparison only; no global non-genericity claim.","Preserved/broken variables are from result-note description, not CSV columns.","CSV binds null_model_id, metric, replicate_count, observed/null summaries."
"BMC14d","runs/BMC-14d/covariance_structured_null_controls_open/bmc14d_null_distribution_summary.csv","covariance_structured_nulls","covariance_and_weight_rank","global_covariance_gaussian","global feature mean;global feature covariance;node count;feature dimensionality","exact feature values;exact node-feature assignment;family-specific structure;non-Gaussian marginal structure","core_edge_containment","shared_edges;recovery_fraction","feature_covariance rows present","source_column_bound","Graph-method diagnostic object only; not physical spacetime.","Preserved/broken variables are from result-note description, not CSV columns.","CSV binds null_model_id, null_family, metric, replicate_count."
"BMC14d","runs/BMC-14d/covariance_structured_null_controls_open/bmc14d_null_distribution_summary.csv","covariance_structured_nulls","covariance_and_weight_rank","family_covariance_gaussian","node family membership;family-level feature mean;family-level covariance structure;node count per family","exact node-feature assignment;exact observed feature values;full empirical rank structure","core_edge_containment","shared_edges;recovery_fraction","feature_covariance rows present","source_column_bound","Graph-method diagnostic object only; not physical spacetime.","Preserved/broken variables are from result-note description, not CSV columns.","CSV binds null_model_id, null_family, metric, replicate_count."
"BMC14d","runs/BMC-14d/covariance_structured_null_controls_open/bmc14d_null_distribution_summary.csv","covariance_structured_nulls","covariance_and_weight_rank","weight_rank_edge_rewire","node set;edge count;edge weight distribution;weight ranks","original edge identities;feature-space origin;degree structure","core_edge_containment","shared_edges;recovery_fraction","not_extracted","partially_source_bound","Graph-method diagnostic object only; not physical spacetime.","Specific row not displayed in 01D readout; family retained from result-note description.","Include if later narrow extraction binds exact CSV row."
"BMC14e","runs/BMC-14e/degree_copula_structured_nulls_open/bmc14e_null_distribution_summary.csv","degree_copula_structured_nulls","degree_and_copula_structure","degree_preserving_edge_rewire","node set;edge count;degree sequence;edge weight multiset","edge identities;feature-space origin","core_edge_containment","shared_edges;recovery_fraction","degree_structured rows present","source_column_bound","Graph-method diagnostic object only; not physical spacetime.","Preserved/broken variables are from result-note description, not CSV columns.","CSV binds null_model_id, null_family, metric, replicate_count."
"BMC14e","runs/BMC-14e/degree_copula_structured_nulls_open/bmc14e_null_distribution_summary.csv","degree_copula_structured_nulls","degree_and_copula_structure","degree_weightclass_edge_rewire","node set;edge count;degree sequence;edge weight distribution;coarse weight-class organization","exact edge identities;feature-space origin","core_edge_containment","shared_edges;recovery_fraction","degree_structured rows present","source_column_bound","Graph-method diagnostic object only; not physical spacetime.","Preserved/broken variables are from result-note description, not CSV columns.","CSV binds null_model_id, null_family, metric, replicate_count."
"BMC14e","runs/BMC-14e/degree_copula_structured_nulls_open/bmc14e_null_distribution_summary.csv","degree_copula_structured_nulls","degree_and_copula_structure","gaussian_copula_feature_null","empirical feature marginals approximately;rank-correlation structure approximately;node count;feature dimensionality","exact observed features;exact node-feature assignment","core_edge_containment","shared_edges;recovery_fraction","not_extracted","partially_source_bound","Graph-method diagnostic object only; not physical spacetime.","Specific row not displayed in 01D readout; family retained from result-note description.","Include if later narrow extraction binds exact CSV row."
"BMC15h","runs/BMC-15h/structured_specificity_extension_open/bmc15h_real_vs_null_summary.csv","structured_specificity_extension","structured_null_family","core_seeded_decoy","core-seeded decoy design;null count=50","specific real graph organization;construction family varied","envelope_core_containment","core_node_containment;core_edge_containment;interpretation_label","real_exceeds_tested_null_family;null_reproduces_core_behavior;mixed_family_dependent_result","source_column_bound","Structured-null diagnostics are family-bounded and do not prove spacetime emergence.","Preserved variables are summarized from family name and 01A/01C context, not fully formalized.","CSV binds null_family, metric_name, construction_family, construction_variant, interpretation_label."
