source,target,weight,edge_family,relation_type,source_family,target_family,evidence_tag,comment
ring_p_m3,ring_p_m2,0.282114700315,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_m1,0.335452342372,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_1,0.366407719803,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_2,0.236846514462,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,ring_p_3,0.217550796731,intra_family,cov_null_euclidean_similarity,RING,RING,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_1_1,0.168613516271,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_1_2,0.208354200306,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_2_1,0.34151719147,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_2_1_1,0.557210893557,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_2_2_1,0.20925253913,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_2_1_2,0.371435728641,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_1_2_2,0.195306468423,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,cavity_2_2_2,0.219427512336,cross_family,cov_null_euclidean_similarity,RING,CAVITY,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,membrane_0_1,0.2913420741,cross_family,cov_null_euclidean_similarity,RING,MEMBRANE,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,membrane_1_1,0.329177499432,cross_family,cov_null_euclidean_similarity,RING,MEMBRANE,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,membrane_2_1,0.184674921184,cross_family,cov_null_euclidean_similarity,RING,MEMBRANE,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,membrane_0_2,0.220402523689,cross_family,cov_null_euclidean_similarity,RING,MEMBRANE,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
ring_p_m3,membrane_3_1,0.247215537235,cross_family,cov_null_euclidean_similarity,RING,MEMBRANE,bmc11_cov_null_seed_101,Covariance-preserving nullmodel full similarity graph
