candidate_id,raw_index,inside_fu02g4c_logged_window,matching_fu02g4c_log_file,g5g_replay_certification_status,g5g_replay_certification_basis,g5g2_per_index_photo_status,node_set_agreement,edge_set_agreement,full_fu02g4c_replay_certification,original_enumerator_rerun_certified,stage3a_gate_status,certification_level,certification_basis,claim_boundary,source_files,notes
"candidate_000","2338804","True","runs/BMS-FU02g4c/chunk_batch_logs/chunk_2000000_2999999.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_001","2338805","True","runs/BMS-FU02g4c/chunk_batch_logs/chunk_2000000_2999999.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_002","2839553","True","runs/BMS-FU02g4c/chunk_batch_logs/chunk_2000000_2999999.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_003","18575893","True","runs/BMS-FU02g4c/chunk_batch_logs_gap_safe/segment_17987055_18987054.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_004","26157529","True","runs/BMS-FU02g4c/chunk_batch_logs_gap_safe/segment_25979015_26979014.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_005","26157530","True","runs/BMS-FU02g4c/chunk_batch_logs_gap_safe/segment_25979015_26979014.log","not_certified","inside logged window, but no direct FU02g4c per-index artifact certifies this non-exact near candidate","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","not_certified","G5G marks candidate_005 not_certified despite G5G2 scaffold/photo node-edge agreement","candidate_005 remains a coarse-signature degeneracy stress case; near_distance=0 is not exact identity or isomorphism.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_006","26161006","True","runs/BMS-FU02g4c/chunk_batch_logs_gap_safe/segment_25979015_26979014.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_007","26167866","True","runs/BMS-FU02g4c/chunk_batch_logs_gap_safe/segment_25979015_26979014.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_008","26187175","True","runs/BMS-FU02g4c/inspect_window_26187175_26187176.log","partially_certified","exact-patch photo and narrow inspect log support raw_index 26187175, but original enumerator was not rerun","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","Known exact positive control has direct window support and G5G2 agreement, but full replay is false","candidate_008 does not prove global non-genericity or full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G5G_RAW_ORDER_REPLAY_CERTIFICATION_RESULT_NOTE.md;docs/QSB_ABSCHLUSSBERICHT_2026-05-09_FU02G5G2.md;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
"candidate_009","26187327","True","runs/BMS-FU02g4c/inspect_window_26187315_26187415.log","partially_certified","logged window with raw near-match counts; no per-index replay artifact in G5G","matched_expected_nodes","True","True","False","False","DRY_RUN_READY","partial_certification","G5G logged-window support plus G5G2 scaffold/photo node-edge agreement","Partial or per-index scaffold support is not full raw-order replay certification.","runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv;docs/BMS_FU02G4C_STAGE3A_WRAPPER_SCAFFOLD_AUDIT_RESULT_NOTE.md","Stage3A confirms dry-run readiness only."
