node_id,node_family,node_label,L_major_raw,L_minor_raw,m_ref_raw,feature_mode_frequency,feature_length_scale,origin_tag,comment
ring_p_m3,RING,nullmodel_RING_1,2.42974042309,1,1.79006102268,1.18875756082,0.348616529166,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
ring_p_m2,RING,nullmodel_RING_2,1.43892851896,1,4.15264062965,-1.37997559035,0.50413619659,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
ring_p_m1,RING,nullmodel_RING_3,1.66357958025,1,7.94537708612,1.79815364761,0.800375758712,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
ring_p_1,RING,nullmodel_RING_4,2.06300533163,1,4.58761075508,4.63390779041,0.498607493485,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
ring_p_2,RING,nullmodel_RING_5,1.04861237576,1,5.30074605071,0.655495716505,0.638174354688,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
ring_p_3,RING,nullmodel_RING_6,1,1,3.49607193585,1.22390763258,0.525449800403,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_1_1_1,CAVITY,nullmodel_CAVITY_7,1.06140272977,1,1,7.10340104566,0.72641756491,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_1_1_2,CAVITY,nullmodel_CAVITY_8,1,1,4.21425685318,5.07210869634,0.260535147572,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_1_2_1,CAVITY,nullmodel_CAVITY_9,1.9005022826,1,2.86412807071,-0.739117600005,0.637922034417,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_2_1_1,CAVITY,nullmodel_CAVITY_10,2.10779292537,1,3.2001604974,0.232112626302,0.3785135686,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_2_2_1,CAVITY,nullmodel_CAVITY_11,1.4364521043,1,3.20816936644,6.6845050307,0.447766374694,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_2_1_2,CAVITY,nullmodel_CAVITY_12,1.79051298974,1,5.23824989641,3.34320747752,0.512099982586,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_1_2_2,CAVITY,nullmodel_CAVITY_13,1.0492567748,1,1,2.50343973349,0.194227515319,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
cavity_2_2_2,CAVITY,nullmodel_CAVITY_14,1,1,6.51385748966,-3.14634881269,0.433660400794,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_0_1,MEMBRANE,nullmodel_MEMBRANE_15,1.56508289845,1,2.8040168435,1.26461216478,0.0761878032705,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_1_1,MEMBRANE,nullmodel_MEMBRANE_16,2.29018513411,1,1.41685028069,5.54980861653,0.474560152615,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_2_1,MEMBRANE,nullmodel_MEMBRANE_17,1.13564130657,1,1,3.66947557584,0.322210403666,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_0_2,MEMBRANE,nullmodel_MEMBRANE_18,1.55565785361,1,3.74092460212,4.78884613591,0.0170310746472,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_3_1,MEMBRANE,nullmodel_MEMBRANE_19,1.77184682885,1,1.41319869811,4.16210169113,0.035049911908,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_1_2,MEMBRANE,nullmodel_MEMBRANE_20,2.32702107382,1,1.66764586131,4.12863472627,0.341344359696,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_2_2,MEMBRANE,nullmodel_MEMBRANE_21,1,1,1.85535942583,2.30753333414,0.50819093258,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
membrane_0_3,MEMBRANE,nullmodel_MEMBRANE_22,1.20284769598,1,6.44059258693,2.28570258927,0.497994575187,BMC10_nullmodel_seed_101,Gaussian nullmodel feature row with BMC-08c node contract preserved
