component_id,component,required_for_resolved_contract,status,evidence_path,evidence_sha256,notes
CC-01,contract_id,yes,missing_standalone,none,none,"No standalone contract ID was found; MCC IDs are alignment inventory IDs only."
CC-02,source_artifact_path,yes,found,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,283aa9295d76c1243398550e0da4447072628989c21f3d987c4b5e8ca1649c06,"Executable source identified."
CC-03,source_sha256,yes,found,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,283aa9295d76c1243398550e0da4447072628989c21f3d987c4b5e8ca1649c06,"Hash recorded."
CC-04,source_type_and_origin,yes,partial,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,45cc936d6f628ab45ca5b9297480b7e8f0e90de7a41b93e6f73abe20340bcc0e,"Origin is EXTRACT03A-R1; standalone contract source type not formalized."
CC-05,K_export_path_and_hash,yes,found,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/11_K_candidate_matrix.csv,e1acdf0acf31e2faf68f8a517cbdbccb2f9af9e28fe974eeb01c0a7f0928754d,"K export found."
CC-06,input_pair_table_path_and_hash,yes,partial,runs/QSB-EXTRACT03-S1/split_seed_freeze_addendum/06_canonical_pair_basis_review.csv,02621f1f8c1e23355aaa7af8379c8891f6851540cc9395ebef5c0b36e0af967d,"Pair basis review found; direct input source is SQLite query in code."
CC-07,pair_id_columns,yes,found,runs/QSB-EXTRACT03-S1/split_seed_freeze_addendum/06_canonical_pair_basis_review.csv,02621f1f8c1e23355aaa7af8379c8891f6851540cc9395ebef5c0b36e0af967d,"canonical_pair_id=pair_i|pair_j."
CC-08,endpoints,yes,found,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/07_source_selection_result.csv,2a1499501a245d1f7e7ea42e4214932db0ca6333a66f0ef3ef2798a6265ebdf8,"pair_i,pair_j from spatial source."
CC-09,lag_class_or_value_columns,yes,missing_for_contract,none,none,"K source uses pair_i,pair_j; no lag-class construction contract for sufficiency was found."
CC-10,pair_policy,yes,partial,runs/QSB-EXTRACT03-S1/split_seed_freeze_addendum/06_canonical_pair_basis_review.csv,02621f1f8c1e23355aaa7af8379c8891f6851540cc9395ebef5c0b36e0af967d,"Ordered non-diagonal pairs and numeric ordering found; duplicate/missing policies not fully standalone."
CC-11,symmetry_policy,yes,found,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,283aa9295d76c1243398550e0da4447072628989c21f3d987c4b5e8ca1649c06,"K symmetrized by (K + K.T) / 2."
CC-12,diagonal_policy,yes,found,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,283aa9295d76c1243398550e0da4447072628989c21f3d987c4b5e8ca1649c06,"K diagonal filled with 1.0."
CC-13,duplicate_or_missing_pair_policy,yes,missing_standalone,none,none,"No explicit duplicate/missing pair policy found outside source behavior."
CC-14,lag_policy_class_definition,yes,missing_for_contract,none,none,"No standalone lag policy linking K reconstruction to sufficiency lag classes found."
CC-15,matrix_shape_index_order,yes,found,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/12_K_validation_results.csv,a0137b42013e3191657d8b3e0b53c28015cb1eb63e5b6371fc96c4e144bbec27,"Shape 42x42 validated; pair order in S1/canonical assignment."
CC-16,entry_formula,yes,found,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/09_tensor_schema_runtime_mapping.csv,fcf0d4be4291076c0f3a569f79e57f1dc0a5df022e14057a47aaa4224741b392,"K_candidate=normalized_vector_a dot normalized_vector_b."
CC-17,weighting_normalization,yes,partial,runs/QSB-EXTRACT02A/input/human_freeze_decisions.json,f624663a0fdff100c9b435bcb877e980961b15be71758b9c33cc3045d11f0e4a,"L2 normalization and uniform x_index weights found; standalone matrix contract absent."
CC-18,PSD_rank_eigen_tolerance,yes,partial,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/12_K_validation_results.csv,a0137b42013e3191657d8b3e0b53c28015cb1eb63e5b6371fc96c4e144bbec27,"PSD lower tolerance found; rank requirement not found."
CC-19,randomization_eligibility,yes,missing_for_contract,none,none,"No randomization eligibility policy for sufficiency use found."
CC-20,reconstruction_command_or_function,yes,partial,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,283aa9295d76c1243398550e0da4447072628989c21f3d987c4b5e8ca1649c06,"Historical script exists, but no standalone reconstruction function/command scoped to matrix contract."
CC-21,expected_output_hash_validation,yes,partial,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,a4a7654953aa07824368b055e30be854c8748a48621f355591d2789211d3db83,"K export hash and validation outputs found; not packaged as standalone contract criterion."
CC-22,limitations,yes,partial,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/29_claim_boundary_matrix.csv,not_rehashed_in_this_alignment,"Claim boundaries exist in EXTRACT03A-R1; limitations for lag-class sufficiency reuse not standalone."

