artifact_id,path,sha256,role
HASH-01,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,283aa9295d76c1243398550e0da4447072628989c21f3d987c4b5e8ca1649c06,executable K source candidate
HASH-02,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,45cc936d6f628ab45ca5b9297480b7e8f0e90de7a41b93e6f73abe20340bcc0e,run manifest
HASH-03,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/07_source_selection_result.csv,2a1499501a245d1f7e7ea42e4214932db0ca6333a66f0ef3ef2798a6265ebdf8,source selection
HASH-04,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/08_canonical_pair_split_assignment.csv,ff7b5b76a4a3b0a94dabd4e460231ed979606c9087bc2c329e72c94d960132e6,pair split assignment
HASH-05,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/09_tensor_schema_runtime_mapping.csv,fcf0d4be4291076c0f3a569f79e57f1dc0a5df022e14057a47aaa4224741b392,runtime mapping
HASH-06,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/10_phase_response_vector_summary.csv,adb297a1964527425361304af4fe11d0397c9d29074e721a279039de6cc0e5b6,phase response vector summary
HASH-07,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/11_K_candidate_matrix.csv,e1acdf0acf31e2faf68f8a517cbdbccb2f9af9e28fe974eeb01c0a7f0928754d,K export
HASH-08,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/12_K_validation_results.csv,a0137b42013e3191657d8b3e0b53c28015cb1eb63e5b6371fc96c4e144bbec27,K validation
HASH-09,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,a4a7654953aa07824368b055e30be854c8748a48621f355591d2789211d3db83,lineage audit
HASH-10,runs/QSB-EXTRACT02A/input/human_freeze_decisions.json,f624663a0fdff100c9b435bcb877e980961b15be71758b9c33cc3045d11f0e4a,human freeze K mode context
HASH-11,runs/QSB-EXTRACT03-S1/split_seed_freeze_addendum/06_canonical_pair_basis_review.csv,02621f1f8c1e23355aaa7af8379c8891f6851540cc9395ebef5c0b36e0af967d,pair basis review

