url_id,url,line_number,source_type,verification_status,claim_boundary
URL-001,https://arxiv.org/abs/1109.5937,60,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-002,https://arxiv.org/abs/2101.08216,60,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-003,https://astroweb.cwru.edu/SPARC/,61,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-004,https://arxiv.org/abs/1609.05917,61,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-005,https://arxiv.org/abs/1803.00022,61,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-006,https://www.chime-frb.ca/catalog,62,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-007,https://arxiv.org/abs/2408.09013,62,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-008,https://arxiv.org/abs/2410.22468,62,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-009,https://nanograv.org/science/data,63,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-010,https://arxiv.org/abs/2306.16213,63,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-011,https://arxiv.org/abs/2306.16217,63,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-012,https://www.epta.eu.org/,63,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-013,https://lweb.cfa.harvard.edu/castles/,64,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-014,https://arxiv.org/abs/astro-ph/0111456,64,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-015,https://arxiv.org/abs/1701.05188,64,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-016,https://www.eso.org/public/teles-instr/paranal-observatory/vlt/vlt-instr/espresso/,65,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-017,https://arxiv.org/abs/2112.05819,65,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-018,https://arxiv.org/abs/2302.04565,65,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-019,https://arxiv.org/abs/1906.02552,66,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-020,https://arxiv.org/abs/2509.03720,66,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-021,https://data.desi.lbl.gov/doc/releases/dr1/,67,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-022,https://arxiv.org/abs/2503.14745,67,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-023,https://arxiv.org/abs/2405.04216,67,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-024,https://arxiv.org/abs/2309.05618,67,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
URL-025,https://arxiv.org/abs/2112.04510,67,url_in_deep_research_report,not_verified_no_internet_used,source_inventory_only
