literature_id,internal_evidence_flag,mechanism_claim_support,physical_claim_support,allowed_use,forbidden_use,claim_boundary
L1,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
L2,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
L3,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
L4,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
L5,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
L6,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
L7,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
W1,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
W2,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
W3,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
W4,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
W5,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
W6,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
W7,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F1,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F2,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F3,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F4,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F5,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F6,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F7,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F8,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
F9,0,0,0,context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation,evidence;result;mechanism_confirmation;physics_claim,literature_context_only_no_internal_evidence_no_mechanism_claim
