source,target,weight,edge_family,relation_type,source_family,target_family,evidence_tag,comment
ring_p_m3,ring_p_m2,0.526002197178,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m3,ring_p_2,0.346235917062,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m3,ring_p_3,0.329791542466,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m3,membrane_0_1,0.32129471727,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m2,ring_p_m1,0.323139785074,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m2,ring_p_1,0.302726240319,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m2,ring_p_2,0.424662296761,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m2,ring_p_3,0.346235917062,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m2,membrane_0_1,0.383227347519,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m2,membrane_1_1,0.307512135046,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m1,ring_p_1,0.596158539082,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_m1,ring_p_2,0.302726240319,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_1,ring_p_2,0.323139785074,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_1,cavity_1_1_1,0.304922394875,cross_family,threshold_euclidean_similarity,RING,CAVITY,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,ring_p_3,0.526002197178,intra_family,threshold_euclidean_similarity,RING,RING,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,cavity_1_1_2,0.316658645375,cross_family,threshold_euclidean_similarity,RING,CAVITY,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,cavity_1_2_1,0.316369046436,cross_family,threshold_euclidean_similarity,RING,CAVITY,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,cavity_1_2_2,0.302300199114,cross_family,threshold_euclidean_similarity,RING,CAVITY,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,membrane_0_1,0.617660875738,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,membrane_1_1,0.445078816348,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,membrane_2_1,0.370862752836,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,membrane_0_2,0.36383801781,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,membrane_3_1,0.324149255934,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_2,membrane_1_2,0.310268543561,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_3,cavity_1_2_1,0.30006927158,cross_family,threshold_euclidean_similarity,RING,CAVITY,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_3,cavity_1_2_2,0.304279034654,cross_family,threshold_euclidean_similarity,RING,CAVITY,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_3,membrane_0_1,0.482353335242,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
ring_p_3,membrane_1_1,0.480904587722,cross_family,threshold_euclidean_similarity,RING,MEMBRANE,bmc09d_threshold_tau_0.3,threshold local graph with tau=0.3
