path_id,path_role,path_order_index,family_id,variant_id,regime_parameter,segment_id,segment_interpretation,dominant_marker,delta_p2_relative_gain_vs_type_A,distance_to_type_D,observed_irregularity_level,spacing_cv,grid_deviation_score,simple_rigidity_surrogate,second_difference_curvature,prediction_match_status,window_or_jump_membership,regime_assignment,local_transition_flag,knee_candidate_flag
FSW_PATH,quantitative_corridor,1,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D01,14.0,FSW_TYPE_D_NEAR,type_D_near_entry,delta_p,0.0339999999999999,0.030656,low,0.0267353830372978,0.0300000000000001,0.0006559999999999,0.0175,partially_supported,type_D_near,type_D_near,False,False
FSW_PATH,quantitative_corridor,2,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D02,12.0,FSW_TYPE_D_NEAR,type_D_near_entry,delta_p,0.0349999999999999,0.0465760000000001,low,0.0423228853758618,0.0450000000000001,0.0015759999999999,0.0274999999999999,partially_supported,type_D_near,type_D_near,False,False
FSW_PATH,quantitative_corridor,3,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D03,10.0,FSW_TYPE_D_NEAR,type_D_near_entry,delta_p,0.036,0.0572959999999999,low,0.053359236306062,0.0549999999999999,0.0022959999999999,0.0324999999999999,partially_supported,quantitative_type_B_window,quantitative_type_B_window,True,False
FSW_PATH,quantitative_corridor,4,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D04,8.0,FSW_ENTRY,entry_to_quantitative_corridor,delta_p,0.087,0.113176,low,0.1431256344367255,0.1333333333333334,0.0131759999999999,0.0799999999999999,partially_supported,quantitative_type_B_window,quantitative_type_B_window,True,False
FSW_PATH,quantitative_corridor,5,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D05,6.5,FSW_CORE,quantitative_type_B_core,delta_p,0.223,0.24016,low_to_moderate,0.2862851439971509,0.23,0.04016,0.1374999999999999,partially_supported,quantitative_type_B_window,quantitative_type_B_window,True,False
FSW_PATH,quantitative_corridor,6,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D06,6.0,FSW_CORE,quantitative_type_B_core,delta_p,0.257,0.245176,low_to_moderate,0.3134903621063912,0.2450000000000001,0.045176,0.1475000000000001,partially_supported,quantitative_type_B_window,quantitative_type_B_window,True,False
FSW_PATH,quantitative_corridor,7,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D07,5.0,FSW_OUTER,irregular_outer_corridor,delta_p,0.051,0.25668,low_to_moderate,0.3967926970654128,0.2766666666666667,0.0566799999999999,0.1625,partially_supported,quantitative_type_B_window,quantitative_type_B_window,False,False
FSW_PATH,quantitative_corridor,8,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D08,4.0,FSW_OUTER,irregular_outer_corridor,delta_p,0.123,0.252944,low_to_moderate,0.447656872164036,0.2699999999999999,0.052944,0.1575,partially_supported,quantitative_type_B_window,quantitative_type_B_window,False,False
FSW_PATH,quantitative_corridor,9,TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D09,3.0,FSW_OUTER,irregular_outer_corridor,delta_p,0.153,0.247816,moderate,0.4774425746234624,0.2566666666666666,0.047816,0.1525,partially_supported,quantitative_type_B_window_narrow,quantitative_type_B_window_narrow,False,False
AO_PATH,quantitative_structural_transition,1,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A01,0.03,AO_EARLY,early_quantitative_gain,delta_p,0.446,0.0698666666666668,low,0.0514259477226579,0.0666666666666668,0.0031999999999999,0.0399999999999999,partially_supported,quantitative_type_B_transfer_zone,quantitative_type_B_transfer_zone,False,False
AO_PATH,quantitative_structural_transition,2,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A02,0.05,AO_EARLY,early_quantitative_gain,delta_p,0.44,0.0698666666666663,low,0.0505076272276103,0.0666666666666663,0.0031999999999999,0.0399999999999998,partially_supported,quantitative_type_B_transfer_zone,quantitative_type_B_transfer_zone,False,False
AO_PATH,quantitative_structural_transition,3,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A03,0.08,AO_EARLY,early_quantitative_gain,delta_p,0.42,0.1079839999999999,low,0.0753399929298099,0.1049999999999998,0.0079839999999999,0.0649999999999998,partially_supported,quantitative_type_B_transfer_zone,quantitative_type_B_transfer_zone,False,False
AO_PATH,quantitative_structural_transition,4,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A04,0.1,AO_TRANSFER,quantitative_transfer_zone,delta_p,0.318,0.127704,low,0.129630207299459,0.195,0.0277039999999999,0.1175,partially_supported,quantitative_type_B_transfer_zone,quantitative_type_B_transfer_zone,False,False
AO_PATH,quantitative_structural_transition,5,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A05,0.12,AO_TRANSFER,quantitative_transfer_zone,delta_p,0.248,0.1452799999999999,low,0.1564639538620044,0.2499999999999998,0.0452799999999999,0.1499999999999999,partially_supported,quantitative_type_B_transfer_zone,quantitative_type_B_transfer_zone,False,False
AO_PATH,quantitative_structural_transition,6,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A06,0.14,AO_TRANSFER,quantitative_transfer_zone,delta_p,0.214,0.176536,low,0.1892280473334911,0.3250000000000002,0.076536,0.1925,partially_supported,quantitative_type_B_transfer_zone,quantitative_type_B_transfer_zone,False,False
AO_PATH,quantitative_structural_transition,7,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A07,0.17,AO_TRANSITION,structural_transition_zone,delta_p,0.1389999999999999,0.3,low_to_moderate,0.2405258952793052,0.4533333333333335,0.1499600000000001,0.2675,partially_supported,quantitative_type_B_transfer_zone,quantitative_type_B_transfer_zone,False,False
AO_PATH,quantitative_structural_transition,8,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A08,0.19,AO_TRANSITION,structural_transition_zone,delta_p,0.135,0.3,low_to_moderate,0.2702443602646979,0.5449999999999995,0.2170639999999997,0.3249999999999998,partially_supported,jump_transition_candidate,jump_transition_candidate,False,False
AO_PATH,quantitative_structural_transition,9,TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A09,0.22,AO_JUMP,qualitative_structural_core,delta_p,0.1169999999999999,0.3,low_to_moderate,0.2915973678275185,0.6266666666666664,0.2866239999999999,0.375,partially_supported,qualitative_type_B_jump,qualitative_type_B_jump,True,False
