bubble_id,bubble_name,supporting_literature_records,supporting_source_group,overlap_with_other_bubbles,possible_qsb_pbr_interface,what_it_could_explain_mathematically,why_it_might_be_overlooked_as_artifact_or_noise,testability_class,claim_risk,recommended_next_action
B01,Raumzeit-Unschaerfe / Skalenkopplung,"green:Yoneya space-time uncertainty; dwh:ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity; garay1995_quantum_gravity_minimum_length; hossenfelder2013_minimal_length_scenarios; mead1964_fundamental_length",both,"B12 Planck Boundary; B13 Scale Mapping; B08 Asymptotic Safety","Treat lag-class structure as scale-coupled constraint rather than independent variable.","Could motivate dimensionless scale gates and threshold-like operator diagnostics without asserting physical Planck behavior.","May be dismissed as unit choice, cutoff convention, or dimensional bookkeeping.",B_formalizable_but_needs_design,medium,QSB-PLANCK-BRIDGE-RESONATOR-LAG-CLASS-SUFFICIENCY-DESIGN-01
B02,Schild Action / Flaechenquantum / Worldsheet,"green:Yoneya Schild Action; dwh:devega1993_strings_curved_spacetimes; devega_sanchez1987_string_quantization_curved; devega_sanchez1995_lectures_string_curved_spacetimes; rovelli_smolin1995_spin_networks_quantum_gravity; ryu_takayanagi2006_holographic_entanglement_entropy",both,"B03 Matrix Operator; B10 Area Geometry; B11 Holography","Look for area-like pair/block invariants in rank/PSD/lag-class artifacts.","Could reframe structure birth as preservation of area-like relation classes, not a scalar candidate variable.","May be treated as discretization artifact, mesh convention, or visualization geometry.",B_formalizable_but_needs_design,medium,QSB-PLANCK-BRIDGE-RESONATOR-STRUCTURE-BIRTH-AUDIT-DESIGN-01
B03,Matrix / Large-N / Operatorstruktur,"green:Wadia; Sen; Yoneya matrix context; dwh:rovelli_smolin1995_spin_networks_quantum_gravity; swingle2012_holographic_spacetimes_entanglement_renormalization",both,"B02 Worldsheet; B04 Nambu; B06 Noncommutativity; B07 Spectrum","Treat QSB/PBR regularities as operator or basis-invariant structure rather than candidate-variable signal.","Could explain rank/PSD/lag-class signatures as constraints on transformations, kernels, or spectra.","May be dismissed as matrix indexing, relabeling, or implementation bookkeeping.",B_formalizable_but_needs_design,low,QSB-PLANCK-BRIDGE-RESONATOR-OPERATOR-SYMMETRY-ANALYSIS-DESIGN-01
B04,Nambu Brackets / Higher Gauge / Mehrfachrelationen,"green:Yoneya higher gauge and Nambu bracket context",green_string_qg,"B03 Matrix Operator; B06 Noncommutativity; B05 Duality","Use as a language for multi-relation constraints if pairwise candidates fail.","Could explain why no independent variable survives while higher-order relation classes remain structured.","May look like overfitting or combinatorial artifact until formalized.",C_contextual_heuristic_only,high,QSB-PLANCK-BRIDGE-RESONATOR-OPERATOR-SYMMETRY-ANALYSIS-DESIGN-01
B05,Dualitaet / Holographie / Reparametrisierungs-Invarianz,"green:Sen; Wadia; Sagnotti-Sevrin; dwh:ryu_takayanagi2006_holographic_entanglement_entropy; swingle2012_holographic_spacetimes_entanglement_renormalization; vanraamsdonk2010_spacetime_entanglement",both,"B03 Matrix Operator; B11 Holography; B06 Noncommutativity","Ask whether lag-preserving shuffle success is an invariance clue rather than a variable clue.","Could explain invariance of diagnostics under allowed relabelings or boundary-like encodings.","May be dismissed as gauge choice, parameterization, or loss of physical labels.",B_formalizable_but_needs_design,medium,QSB-PLANCK-BRIDGE-RESONATOR-OPERATOR-SYMMETRY-ANALYSIS-DESIGN-01
B06,Nicht-Kommutativitaet / Reihenfolge der Operationen,"green:Yoneya uncertainty and matrix context; dwh:bombelli_lee_meyer_sorkin1987_causal_set",both,"B03 Matrix Operator; B04 Nambu; B07 Spectrum","Examine whether construction order, lag-preserving shuffle, or pair formation creates nontrivial order constraints.","Could explain lag-preserving effects as order-sensitive construction rather than source-variable content.","May be dismissed as sort order, replay order, or index artifact.",A_immediately_testable_in_current_artifacts,medium,QSB-PLANCK-BRIDGE-RESONATOR-STRUCTURE-BIRTH-AUDIT-DESIGN-01
B07,Spektrum / Resonator / Eigenstruktur,"green:Wadia/Sen string mode language; dwh:birrell_davies1982_quantum_fields_curved_space; devega1993_strings_curved_spacetimes; devega_sanchez1987_string_quantization_curved; devega_sanchez1995_lectures_string_curved_spacetimes; hollands_wald2015_qft_curved_spacetime",both,"B03 Matrix Operator; B10 QFT Curved; B06 Noncommutativity","Connect rank/PSD/lag-class structure to spectral diagnostics and kernel behavior.","Could explain why structure appears in eigenvalue/rank summaries without yielding an independent lag variable.","May be dismissed as numerical conditioning, PSD test artifact, or mode-basis choice.",A_immediately_testable_in_current_artifacts,low,QSB-PLANCK-BRIDGE-RESONATOR-LAG-CLASS-SUFFICIENCY-DESIGN-01
B08,Loop Quantum Geometry / Geometriequanten,"dwh:ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity; rovelli_smolin1995_spin_networks_quantum_gravity",dwh_literature,"B02 Area Geometry; B03 Matrix Operator; B09 Emergence","Use as external geometry-quantization language for relation carriers, not as QSB evidence.","Could motivate graph/area/adjacency carrier audits instead of scalar variable search.","May be dismissed as foreign formalism or analogy beyond artifacts.",C_contextual_heuristic_only,medium,QSB-PLANCK-BRIDGE-RESONATOR-STRUCTURE-BIRTH-AUDIT-DESIGN-01
B09,Asymptotic Safety / Scale Flow,"dwh:ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity; hossenfelder2013_minimal_length_scenarios",dwh_literature,"B01 Scale Coupling; B12 Planck Boundary","Frame mechanism access as scale-flow or coarse-graining question rather than candidate repair.","Could motivate testing whether lag classes remain sufficient under controlled scale/coarse-grain transforms.","May be dismissed as smoothing, thresholding, or resolution artifact.",B_formalizable_but_needs_design,medium,QSB-PLANCK-BRIDGE-RESONATOR-LAG-CLASS-SUFFICIENCY-DESIGN-01
B10,QFT in Curved Spacetime / Semiclassical Boundary,"dwh:birrell_davies1982_quantum_fields_curved_space; hollands_wald2015_qft_curved_spacetime; deVega-Sanchez curved spacetime string records",dwh_literature,"B07 Spectrum; B02 Worldsheet; B14 Horizon Thermodynamics","Use mode/background dependence as warning language for basis-sensitive spectral claims.","Could explain why mode-like structure depends on construction context and should not be overclaimed.","May be dismissed as background convention or state-definition artifact.",C_contextual_heuristic_only,medium,QSB-PLANCK-BRIDGE-RESONATOR-OPERATOR-SYMMETRY-ANALYSIS-DESIGN-01
