run_id,candidate_id,directionality_documented,directionality_class,ij_reversal_behavior_available,absolute_value_risk,directionality_decision
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0001,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0002,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0003,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0004,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0005,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0006,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0007,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0008,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0009,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0010,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0011,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0012,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0013,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0014,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0015,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0016,unknown,unknown,false,unknown,directionality_not_established_inventory_only
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0017,unknown,unknown,false,unknown,directionality_not_established_inventory_only
