run_id,candidate_id,value_series_status,deterministic_alias_check_status,r2_lag,r2_abs_lag,lookup_accuracy_pair_id,lookup_accuracy_index_order,residual_entropy
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0001,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0002,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0003,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0004,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0005,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0006,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0007,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0008,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0009,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0010,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0011,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0012,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0013,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0014,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0015,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0016,not_available,evidence_based_inventory_only,not_computed,not_computed,not_computed,not_computed,not_computed
