run_id,candidate_id,source_artifact_present,generation_rule_present,transformation_chain_complete,derived_from_lag_flag,derived_from_pair_id_flag,derived_from_index_flag,lineage_score,lineage_decision
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0001,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0002,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0003,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0004,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0005,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0006,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0007,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0008,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0009,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0010,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0011,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0012,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0013,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0014,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0015,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0016,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0017,true,unknown,false,unknown,unknown,unknown,0,lineage_incomplete_requires_repair
