run_id,seed,parameter_profile,state,null_variant,baseline_anchor_status,combined_status_stability,auxiliary_compatibility,neighbor_shift_signal,a1_shift_signal,b1_shift_signal,gain_value,gain_vs_A,gain_vs_D,sign_stability,replicate_consistency,null_noise_margin,auxiliary_primary_takeover,role_flip
H3SMD01_20260417_181854,101,base,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,base,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.085,0.085,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,base,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.122,0.122,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,base,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.014,0.014,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_plus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_plus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.085,0.085,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_plus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.122,0.122,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.014,0.014,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_minus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.085,0.085,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.122,0.122,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,101,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.014,0.014,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,base,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,base,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.09,0.09,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,base,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.127,0.127,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,base,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.012,0.012,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_plus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_plus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.09,0.09,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_plus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.127,0.127,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.012,0.012,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_minus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.09,0.09,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.127,0.127,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,202,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.012,0.012,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,base,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,base,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.095,0.095,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,base,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.132,0.132,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,base,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.01,0.01,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_plus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_plus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.095,0.095,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_plus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.132,0.132,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.01,0.01,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_minus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.095,0.095,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.132,0.132,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,303,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.01,0.01,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,base,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,base,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.1,0.1,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,base,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.137,0.137,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,base,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.014,0.014,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_plus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_plus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.1,0.1,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_plus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.137,0.137,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.014,0.014,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_minus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.1,0.1,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.137,0.137,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,404,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.014,0.014,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,base,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,base,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.08,0.08,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,base,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.117,0.117,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,base,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.012,0.012,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_plus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_plus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.08,0.08,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_plus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.117,0.117,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.012,0.012,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_minus,A,,primary_retained,stable,not_applicable,baseline,baseline,stable,0.0,0.0,0.0,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_low_level_shift,stable,0.08,0.08,0.05,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.117,0.117,0.08,1.0,0.85,0.02,False,False
H3SMD01_20260417_181854,505,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,weak_or_random,weak_or_random,stable,0.012,0.012,0.0,1.0,0.85,0.02,False,False
