run_id,work_package,bib_key,entry_type,title,authors,year,journal,booktitle,publisher,series,volume,number,pages,doi,arxiv_id,archive_prefix,primary_class,url,isbn,note,keywords,pillar_id,pillar_label,source_file,source_sha256,claim_status,physical_claim_release
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,mead1964_fundamental_length,article,Possible Connection Between Gravitation and Fundamental Length,"Mead, C. A.",1964,Physical Review,,,,135,3B,B849--B862,10.1103/PhysRev.135.B849,,,,https://doi.org/10.1103/PhysRev.135.B849,,,"qsb, planck-boundary, minimal-length, localization-limit",planck_boundary_minimal_length,Planck-Grenze / Minimal-Länge / Lokalisierungsgrenze,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,garay1995_quantum_gravity_minimum_length,article,Quantum Gravity and Minimum Length,"Garay, Luis J.",1995,International Journal of Modern Physics A,,,,10,,145--166,10.1142/S0217751X95000085,gr-qc/9403008,arXiv,gr-qc,https://arxiv.org/abs/gr-qc/9403008,,,"qsb, planck-boundary, minimal-length, quantum-gravity",planck_boundary_minimal_length,Planck-Grenze / Minimal-Länge / Lokalisierungsgrenze,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,hossenfelder2013_minimal_length_scenarios,article,Minimal Length Scale Scenarios for Quantum Gravity,"Hossenfelder, Sabine",2013,Living Reviews in Relativity,,,,16,2,,10.12942/lrr-2013-2,1203.6191,arXiv,gr-qc,https://arxiv.org/abs/1203.6191,,,"qsb, planck-boundary, minimal-length, finite-resolution",planck_boundary_minimal_length,Planck-Grenze / Minimal-Länge / Lokalisierungsgrenze,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,devega_sanchez1987_string_quantization_curved,article,A New Approach to String Quantization in Curved Spacetimes,"de Vega, H. J. and S{\'a}nchez, N.",1987,Physics Letters B,,,,197,3,320--326,10.1016/0370-2693(87)90392-3,,,,https://doi.org/10.1016/0370-2693(87)90392-3,,,"qsb, sanchez-line, strings, curved-spacetime, modes, geometry-coupling",sanchez_devega_strings_curved_spacetime,Sanchez / de Vega / Sanchez: Strings in gekrümmter Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,devega1993_strings_curved_spacetimes,misc,Strings in Curved Spacetimes,"de Vega, H. J.",1993,,,,,,,,,hep-th/9302052,arXiv,hep-th,https://arxiv.org/abs/hep-th/9302052,,"Lectures delivered at the Erice School ``String Quantum Gravity and Physics at the Planck Energy Scale'', 21--28 June 1992; proceedings edited by N. S{\'a}nchez, World Scientific.","qsb, sanchez-line, strings, curved-spacetime, particle-transmutation, internal-modes",sanchez_devega_strings_curved_spacetime,Sanchez / de Vega / Sanchez: Strings in gekrümmter Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,devega_sanchez1995_lectures_string_curved_spacetimes,misc,Lectures on String Theory in Curved Spacetimes,"de Vega, H. J. and S{\'a}nchez, N.",1995,,,,,,,,,hep-th/9512074,arXiv,hep-th,https://arxiv.org/abs/hep-th/9512074,,Lectures/review on string dynamics in cosmological and black-hole spacetimes.,"qsb, sanchez-line, strings, curved-spacetime, stable-unstable-classes, multistring-solutions",sanchez_devega_strings_curved_spacetime,Sanchez / de Vega / Sanchez: Strings in gekrümmter Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,birrell_davies1982_quantum_fields_curved_space,book,Quantum Fields in Curved Space,"Birrell, N. D. and Davies, P. C. W.",1982,,,Cambridge University Press,Cambridge Monographs on Mathematical Physics,,,,10.1017/CBO9780511622632,,,,https://doi.org/10.1017/CBO9780511622632,9780521278584,,"qsb, qft-curved-spacetime, modes, vacuum, hawking-radiation",qft_curved_spacetime,QFT in gekrümmter Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,hollands_wald2015_qft_curved_spacetime,article,Quantum Fields in Curved Spacetime,"Hollands, Stefan and Wald, Robert M.",2015,Physics Reports,,,,574,,1--35,10.1016/j.physrep.2015.02.001,1401.2026,arXiv,gr-qc,https://arxiv.org/abs/1401.2026,,,"qsb, qft-curved-spacetime, local-covariance, hadamard-states, unruh-effect, hawking-effect",qft_curved_spacetime,QFT in gekrümmter Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,jacobson1995_thermodynamics_spacetime,article,Thermodynamics of Spacetime: The Einstein Equation of State,"Jacobson, Ted",1995,Physical Review Letters,,,,75,7,1260--1263,10.1103/PhysRevLett.75.1260,gr-qc/9504004,arXiv,gr-qc,https://arxiv.org/abs/gr-qc/9504004,,,"qsb, emergent-spacetime, thermodynamics, horizon-entropy, einstein-equation",emergent_relational_spacetime,Emergente / relationale Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,ryu_takayanagi2006_holographic_entanglement_entropy,article,Holographic Derivation of Entanglement Entropy from {AdS/CFT},"Ryu, Shinsei and Takayanagi, Tadashi",2006,Physical Review Letters,,,,96,18,181602,10.1103/PhysRevLett.96.181602,hep-th/0603001,arXiv,hep-th,https://arxiv.org/abs/hep-th/0603001,,,"qsb, emergent-spacetime, holography, entanglement-entropy, geometry",emergent_relational_spacetime,Emergente / relationale Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,vanraamsdonk2010_spacetime_entanglement,article,Building Up Spacetime with Quantum Entanglement,"Van Raamsdonk, Mark",2010,General Relativity and Gravitation,,,,42,,2323--2329,10.1007/s10714-010-1034-0,1005.3035,arXiv,hep-th,https://arxiv.org/abs/1005.3035,,"Also published in International Journal of Modern Physics D 19, 2429--2435 (2010), doi:10.1142/S0218271810018529.","qsb, emergent-spacetime, quantum-entanglement, holography, connectivity",emergent_relational_spacetime,Emergente / relationale Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-PLANCK-BRIDGE-RESONATOR-LITERATURE-NOTE-01,rovelli_smolin1995_spin_networks_quantum_gravity,article,Spin Networks and Quantum Gravity,"Rovelli, Carlo and Smolin, Lee",1995,Physical Review D,,,,52,,5743--5759,10.1103/PhysRevD.52.5743,gr-qc/9505006,arXiv,gr-qc,https://arxiv.org/abs/gr-qc/9505006,,,"qsb, emergent-spacetime, quantum-geometry, spin-networks, loop-quantum-gravity",emergent_relational_spacetime,Emergente / relationale Raumzeit,qsb_planck_bridge_resonator_litnote01.bib,78b2233167efe0f4830b918eb0231ec5ec748ed77e789b988cd3705e82b9fb27,motivational_reference_only,blocked_no_physics_claim
