run_id,claim_map_id,bib_key,pillar_id,supports,does_not_support,qsb_connection,allowed_claim,forbidden_claim,review_status
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-001,mead1964_fundamental_length,planck_boundary_minimal_length,"Motiviert eine Interface-Frage an der Grenze von Lokalisierung, Energie, Quantenzustand und gravitativer Rückwirkung.",Beweist keine Planck-Bridge-Resonatoren und keine Planck-Länge als Raum-Pixel.,Planck-Grenze wird als Suchraum für einen formal prüfbaren Interface-Kandidaten registriert.,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-002,garay1995_quantum_gravity_minimum_length,planck_boundary_minimal_length,"Motiviert eine Interface-Frage an der Grenze von Lokalisierung, Energie, Quantenzustand und gravitativer Rückwirkung.",Beweist keine Planck-Bridge-Resonatoren und keine Planck-Länge als Raum-Pixel.,Planck-Grenze wird als Suchraum für einen formal prüfbaren Interface-Kandidaten registriert.,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-003,hossenfelder2013_minimal_length_scenarios,planck_boundary_minimal_length,"Motiviert eine Interface-Frage an der Grenze von Lokalisierung, Energie, Quantenzustand und gravitativer Rückwirkung.",Beweist keine Planck-Bridge-Resonatoren und keine Planck-Länge als Raum-Pixel.,Planck-Grenze wird als Suchraum für einen formal prüfbaren Interface-Kandidaten registriert.,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-004,devega_sanchez1987_string_quantization_curved,sanchez_devega_strings_curved_spacetime,"Stützt das Strukturmotiv modentragender, ausgedehnter Quantensysteme in gekrümmter Raumzeit und geometrisch beeinflusster Dynamik.",Beweist weder QSB noch einen spezifischen Resonator-Baustein; Stringtheorie wird nicht als Beweisanker verwendet.,Motiviert den Übergang a -> a' als Strukturmotiv geometrisch vermittelter Zustandsänderung.,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-005,devega1993_strings_curved_spacetimes,sanchez_devega_strings_curved_spacetime,"Stützt das Strukturmotiv modentragender, ausgedehnter Quantensysteme in gekrümmter Raumzeit und geometrisch beeinflusster Dynamik.",Beweist weder QSB noch einen spezifischen Resonator-Baustein; Stringtheorie wird nicht als Beweisanker verwendet.,Motiviert den Übergang a -> a' als Strukturmotiv geometrisch vermittelter Zustandsänderung.,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-006,devega_sanchez1995_lectures_string_curved_spacetimes,sanchez_devega_strings_curved_spacetime,"Stützt das Strukturmotiv modentragender, ausgedehnter Quantensysteme in gekrümmter Raumzeit und geometrisch beeinflusster Dynamik.",Beweist weder QSB noch einen spezifischen Resonator-Baustein; Stringtheorie wird nicht als Beweisanker verwendet.,Motiviert den Übergang a -> a' als Strukturmotiv geometrisch vermittelter Zustandsänderung.,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-007,birrell_davies1982_quantum_fields_curved_space,qft_curved_spacetime,"Motiviert, dass Geometrie Vakuumbegriff, Modenzerlegung, Teilchenbegriff und beobachtbare Feldgrößen beeinflussen kann.",Liefert keine mikroskopische Theorie der Raumzeit und keine Resonator-Entität.,"Stützt die Interface-Frage zwischen Zustand, Moden, Phase und geometrischer Bedingung.",Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-008,hollands_wald2015_qft_curved_spacetime,qft_curved_spacetime,"Motiviert, dass Geometrie Vakuumbegriff, Modenzerlegung, Teilchenbegriff und beobachtbare Feldgrößen beeinflussen kann.",Liefert keine mikroskopische Theorie der Raumzeit und keine Resonator-Entität.,"Stützt die Interface-Frage zwischen Zustand, Moden, Phase und geometrischer Bedingung.",Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-009,jacobson1995_thermodynamics_spacetime,emergent_relational_spacetime,"Zeigt, dass emergente, relationale, informationelle, kausale oder netzwerkartige Geometrie eine seriöse Forschungsfrage ist.",Bestätigt QSB nicht automatisch und macht relationale Netzwerke nicht automatisch zu physikalischer Raumzeit.,"Erlaubt, ein Resonator-Netz als operationalisierbaren Emergenzkandidaten zu prüfen.",Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01-CM-010,ryu_takayanagi2006_holographic_entanglement_entropy,emergent_relational_spacetime,"Zeigt, dass emergente, relationale, informationelle, kausale oder netzwerkartige Geometrie eine seriöse Forschungsfrage ist.",Bestätigt QSB nicht automatisch und macht relationale Netzwerke nicht automatisch zu physikalischer Raumzeit.,"Erlaubt, ein Resonator-Netz als operationalisierbaren Emergenzkandidaten zu prüfen.",Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review
