metric_name,metric_status,value,detail
rank,not_computed_blocked_preflight,,"Matrix recomputation and spectral measurement blocked by missing matrix construction contract."
numerical_rank_threshold_used,not_computed_blocked_preflight,,"No threshold calibrated."
PSD_status,not_computed_blocked_preflight,,"No PSD computation executed."
minimum_eigenvalue,not_computed_blocked_preflight,,"No spectral measurement executed."
minimum_eigenvalue_tolerance_used,not_computed_blocked_preflight,,"No tolerance calibrated."
eigenvalue_spectrum,not_computed_blocked_preflight,,"No eigenvalue spectrum computed."
eigenvalue_spectrum_similarity_to_baseline,not_applicable_blocked_preflight,,"No comparison baseline computed."
nullspace_dimension,not_computed_blocked_preflight,,"No rank/nullspace computation executed."
lag_class_coherence,not_computed_blocked_preflight,,"No coherence metric computed."
block_or_toeplitz_similarity,not_computed_blocked_preflight,,"No block/toeplitz metric computed."
projector_rank_contribution,not_computed_blocked_preflight,,"No projector diagnostic executed."
class_cardinality_sensitivity,not_computed_blocked_preflight,,"No random partition controls executed."
effect_size_against_equal_cardinality_partitions,not_computed_blocked_preflight,,"No effect size computed."
random_seed_stability,not_computed_blocked_preflight,,"No random trials executed."
