field,status,blocking_if_unset,implementation_source
source_code_artifact_path,documented_existing_evidence,false,contract_field_export.csv
source_code_artifact_sha256,documented_existing_evidence,false,contract_field_export.csv
K_candidate_export_path,documented_existing_evidence,false,contract_field_export.csv
K_candidate_export_sha256,documented_existing_evidence,false,contract_field_export.csv
input_pair_table_path,documented_existing_evidence,false,contract_field_export.csv
pair_identifier_columns,documented_existing_evidence,false,contract_field_export.csv
endpoint_columns,documented_existing_evidence,false,contract_field_export.csv
lag_class_column,requires_human_value,true,contract_field_export.csv
pair_policy,documented_existing_evidence,false,contract_field_export.csv
pair_symmetry_policy,documented_existing_evidence,false,contract_field_export.csv
diagonal_policy,documented_existing_evidence,false,contract_field_export.csv
zero_diagonal_policy,not_applicable_with_reason,false,contract_field_export.csv
duplicate_pair_policy,requires_human_value,true,contract_field_export.csv
missing_pair_policy,requires_human_value,true,contract_field_export.csv
lag_class_definition,requires_human_value,true,contract_field_export.csv
lag_sort_order,requires_human_value,true,contract_field_export.csv
matrix_shape_rule,documented_existing_evidence,false,contract_field_export.csv
matrix_index_order_rule,documented_existing_evidence,false,contract_field_export.csv
matrix_entry_formula_or_callable,documented_existing_evidence,false,contract_field_export.csv
weighting_rule,documented_existing_evidence,false,contract_field_export.csv
normalization_rule,documented_existing_evidence,false,contract_field_export.csv
aggregation_rule,documented_existing_evidence,false,contract_field_export.csv
symmetrization_rule,documented_existing_evidence,false,contract_field_export.csv
missing_value_policy,requires_human_value,true,contract_field_export.csv
PSD_check_rule,documented_existing_evidence,false,contract_field_export.csv
rank_check_rule,requires_human_value,true,contract_field_export.csv
eigenvalue_threshold_policy,requires_human_value,true,contract_field_export.csv
numerical_rank_threshold,requires_human_value,true,contract_field_export.csv
baseline_validation_rule,documented_existing_evidence,false,contract_field_export.csv
expected_output_hash_or_similarity_rule,documented_existing_evidence,false,contract_field_export.csv
equal_cardinality_partition_eligibility,requires_human_value,true,contract_field_export.csv
random_seed_policy,requires_human_value,true,contract_field_export.csv
trial_count_policy,requires_human_value,true,contract_field_export.csv
reconstruction_script_or_function,documented_existing_evidence,false,contract_field_export.csv
required_arguments,documented_existing_evidence,false,contract_field_export.csv
expected_outputs,documented_existing_evidence,false,contract_field_export.csv
validation_command,documented_existing_evidence,false,contract_field_export.csv
claim_boundary,documented_existing_evidence,false,contract_field_export.csv
