run_id,nullmodel_key,diagnostic_key,required,execution_status,output_claim_status
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,label_permutation_null,rank_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,label_permutation_null,nullity_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,label_permutation_null,eigenvalue_spectrum,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,label_permutation_null,lag_signature_distance,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,label_permutation_null,psd_min_eigenvalue,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,lag_preserving_shuffle_null,rank_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,lag_preserving_shuffle_null,nullity_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,lag_preserving_shuffle_null,eigenvalue_spectrum,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,lag_preserving_shuffle_null,lag_signature_distance,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,lag_preserving_shuffle_null,psd_min_eigenvalue,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,random_gram_psd_null,rank_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,random_gram_psd_null,nullity_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,random_gram_psd_null,eigenvalue_spectrum,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,random_gram_psd_null,lag_signature_distance,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,random_gram_psd_null,psd_min_eigenvalue,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,directed_pair_rewire_null,rank_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,directed_pair_rewire_null,nullity_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,directed_pair_rewire_null,eigenvalue_spectrum,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,directed_pair_rewire_null,lag_signature_distance,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,directed_pair_rewire_null,psd_min_eigenvalue,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,sign_flip_antiparallel_null,rank_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,sign_flip_antiparallel_null,nullity_distribution,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,sign_flip_antiparallel_null,eigenvalue_spectrum,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,sign_flip_antiparallel_null,lag_signature_distance,true,design_only_not_executed,not_produced_in_design_run
QSB-PLANCK-BRIDGE-RESONATOR-NULLMODEL-DESIGN-01,sign_flip_antiparallel_null,psd_min_eigenvalue,true,design_only_not_executed,not_produced_in_design_run
