run_id,object_type,table_schema,table_name,column_name,matched_reason
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_decision_cases,lag_structure_status,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_design_summary,input_critical_nullmodel,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_decision,not_formal_lag_mechanism_candidate_reason,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_execution_summary,input_critical_nullmodel,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_failure_modes,failure_modes,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_independent_lag_variable,lag_proxy_correlation,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_independent_lag_variable,lag_proxy_mutual_information_or_group_score,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_independent_lag_variable,lag_proxy_rank_correlation,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_independent_lag_variable,lag_reconstruction_accuracy,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_nullmodel_operationalization,lag_preserving_nullmodel_role,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_nullmodel_operationalization,nullmodel_appropriateness_class,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_order_scrambling,lag_structure_distance,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_order_scrambling,lag_structure_preserved,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_physical_proxy,proxy_lag_correlation,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_physical_proxy,proxy_lag_monotonicity_score,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_test_family_spec,failure_modes,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_test_results,lag_explained_variance_ratio,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_test_results,lag_reconstruction_accuracy,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_test_results,lag_structure_preserved_rate,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_test_results,nullmodel_appropriateness_class,candidate_column_name
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,column,qsb_planck_bridge,pbr_lag_mechanism_test_results,proxy_lag_correlation,candidate_column_name
