path,line_number,excerpt,writes_exact_output_file,writer_type,fieldnames_detected,assessment
runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,24,"run_output,16_edge_candidate_result.csv,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,453f9bd52bd8d1dece2934f2d1dc5e54ccda1993f703e1c22f1807531f6e0bfa,output integrity,pass,23_lineage_and_hash_audit.csv self-hash exc",false,reference,,context_reference
scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,52,"EDGE_PATH = A/""16_edge_candidate_result.csv""",false,reference,,context_reference
scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,52,"EDGE_PATH=A/""16_edge_candidate_result.csv""",false,reference,,context_reference
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,54,"""14_shortest_path_D_matrix.csv"", ""15_strength_matrix.csv"", ""16_edge_candidate_result.csv"",",true,write_csv helper / csv.DictWriter,,direct_writer_evidence
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",true,write_csv helper / csv.DictWriter,pair_a;pair_b;strength;theta_edge;edge_candidate_flag;diagonal;claim_boundary;lineage_bundle_sha256,direct_writer_evidence
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,361,"write_csv(FILES[15], list(edge_rows[0]), edge_rows)",true,write_csv helper / csv.DictWriter,,direct_writer_evidence
scripts/qsb_extract03b/result_review_human_summary.py,106,"A / ""15_strength_matrix.csv"", A / ""16_edge_candidate_result.csv"",",false,reference,,context_reference
scripts/qsb_extract03b/result_review_human_summary.py,198,"edge_rows = read_csv(""16_edge_candidate_result.csv"")",false,reference,pair_a;pair_b;strength;theta_edge;edge_candidate_flag;diagonal;claim_boundary;lineage_bundle_sha256,context_reference
scripts/qsb_extract03b/result_review_human_summary.py,326,"write_csv(FILES[15], list(claim_rows[0]), claim_rows)",false,write_csv helper / csv.DictWriter,,context_reference
scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,195,"""strength_matrix"":A/""15_strength_matrix.csv"",""edge_candidate_result"":A/""16_edge_candidate_result.csv"",",false,reference,,context_reference
scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,470,"write_csv(FILES[14],list(edge_stability[0]),edge_stability); write_csv(FILES[15],list(cluster_rows[0]),cluster_rows)",false,write_csv helper / csv.DictWriter,,context_reference
scripts/qsb_extract03d/block_mechanism_review.py,49,"EDGE=A/""16_edge_candidate_result.csv""",false,reference,,context_reference
scripts/qsb_extract03d/block_mechanism_review.py,244,"write_csv(FILES[15],list(guard_rows[0]),guard_rows)",false,write_csv helper / csv.DictWriter,,context_reference
scripts/qsb_extract03e/perfection_origin_review.py,49,"S_PATH=A/""15_strength_matrix.csv"";EDGE_PATH=A/""16_edge_candidate_result.csv"";VECTOR_SUMMARY=A/""10_phase_response_vector_summary.csv"";MART=A/""21_extract03a_r1_result_mart.sqlite""",false,reference,,context_reference
scripts/qsb_extract03e/perfection_origin_review.py,255,"write_csv(FILES[14],list(layer_rows[0]),layer_rows);write_csv(FILES[15],list(coupling_rows[0]),coupling_rows);write_csv(FILES[16],list(chain_rows[0]),chain_rows);write_csv(FILES[17],list(origin[0]),origin)",false,write_csv helper / csv.DictWriter,,context_reference
