trace_item,value,path,line_number,excerpt,assessment
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,217,"split_rows.append({""pair_index"": index, ""canonical_pair_id"": pair_id, ""pair_i"": pairs[index][0], ""pair_j"": pairs[index][1], ""split_protocol_id"": SPLIT_PROTOCOL, ""primary_seed"": PRIMARY_SEED, ""hash_input"": text, ""sha256"": digest, ""u"": format(u, "".17g""), ""split_",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,275,"cluster_rows.append({""merge_index"": merge_index, ""cluster_candidate_id"": cluster_id, ""left_node"": left_i, ""right_node"": right_i, ""distance"": format(float(distance), "".17g""), ""member_count"": int(count), ""members"": membership_text, ""split_composition"": json.dump",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,276,"motif_rows.append({""motif_candidate_id"": motif_id, ""source_cluster_candidate_id"": cluster_id, ""member_count"": len(members), ""members"": membership_text, ""id_contract"": ""hash(contract,source,split,membership)"", ""stability_status"": ""not_certified_bootstrap_sampli",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,280,"validations.append({""validation_id"": f""E03A-V-{len(validations)+1:02d}"", ""validation_layer"": layer, ""check_name"": check, ""status"": ""pass"" if passed else ""fail"", ""severity"": severity, ""observed_value"": observed, ""expected_value"": expected, ""message"": message or",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,302,"review_items = [{""review_item_id"": ""E03A-RI-01"", ""topic"": ""cluster_motif_bootstrap_stability"", ""status"": ""open"", ""reason"": ""S1 freezes five bootstrap seeds but does not freeze the resampling unit/method or stability acceptance threshold."", ""impact"": ""Dendrogra",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,316,"""claim_boundary"": CLAIM, ""lineage"": lineage_payload, ""lineage_bundle_sha256"": lineage_bundle,",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,320,"inventory_rows = [{""artifact_id"": f""E03A-UP-{i:02d}"", ""upstream_block"": path.parent.name, ""path"": rel(path), ""exists"": ""yes"", ""sha256"": before[rel(path)], ""access_mode"": ""read-only"", ""used_for"": ""authorization, frozen contract, source, or boundary"", ""post_run_",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,322,"auth_rows = [{""authorization_item"": key, ""observed_value"": json.dumps(auth.get(key), ensure_ascii=False), ""expected_value"": json.dumps(value, ensure_ascii=False), ""status"": ""pass"", ""source_path"": rel(AUTH), ""source_sha256"": sha(AUTH), ""lineage_bundle_sha256"": ",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,325,"s1_auth_rows = [{""authorization_item"": key, ""observed_value"": json.dumps(s1_auth.get(key), ensure_ascii=False), ""expected_value"": json.dumps(value, ensure_ascii=False), ""status"": ""pass"", ""source_path"": rel(S1_AUTH), ""source_sha256"": sha(S1_AUTH), ""lineage_bund",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,329,"{""contract_item"": ""extract03_package"", ""path"": rel(PACKAGE), ""observed_value"": package_manifest[""status""], ""expected_value"": ""extract03_execution_package_preparation_completed_no_extraction"", ""sha256"": package_hash, ""status"": ""pass"", ""notes"": ""24 artifacts; ag",resolved
