table_schema,table_name,table_type
admin,dataset_registry,BASE TABLE
admin,etl_run,BASE TABLE
admin,etl_step,BASE TABLE
admin,migration_log,BASE TABLE
admin,qsb_connection_test,BASE TABLE
admin,schema_version,BASE TABLE
admin,single_dwh_policy,BASE TABLE
canonical,causality_artifact,BASE TABLE
canonical,causality_transition,BASE TABLE
canonical,interface01_artifact,BASE TABLE
canonical,interface01_feature,BASE TABLE
canonical,matrix_topology_component,BASE TABLE
canonical,matrix_topology_edge,BASE TABLE
canonical,matrix_topology_metric,BASE TABLE
canonical,obs_artifact,BASE TABLE
canonical,obs_baseline_quantity,BASE TABLE
canonical,obs_dataset,BASE TABLE
canonical,obs_galaxy,BASE TABLE
canonical,obs_massmodel_point,BASE TABLE
canonical,obs_measurement,BASE TABLE
canonical,obs_quantity_definition,BASE TABLE
canonical,obs_rar_point,BASE TABLE
canonical,obs_source_file,BASE TABLE
canonical,qsb_artifact,BASE TABLE
canonical,qsb_claim_boundary_event,BASE TABLE
canonical,qsb_run,BASE TABLE
canonical,qsb_run_summary,BASE TABLE
canonical,qsb_validation_event,BASE TABLE
canonical,relalg_artifact,BASE TABLE
canonical,relalg_metric,BASE TABLE
metadata,meta_alias,BASE TABLE
metadata,meta_claim,BASE TABLE
metadata,meta_dataset,BASE TABLE
metadata,meta_field,BASE TABLE
metadata,meta_lineage,BASE TABLE
metadata,meta_search_token,BASE TABLE
metadata,meta_unit,BASE TABLE
metadata,meta_view,BASE TABLE
qsb_literature,litnote_run,BASE TABLE
qsb_literature,reference_claim_map,BASE TABLE
qsb_literature,reference_source,BASE TABLE
qsb_metadata,lit_addendum_ashreurov_2014_catalog_object,BASE TABLE
qsb_metadata,lit_addendum_ashreurov_2014_claim_boundary_metadata,BASE TABLE
qsb_metadata,lit_addendum_ashreurov_2014_field_metadata,BASE TABLE
qsb_metadata,lit_addendum_ashreurov_2014_lineage_edge,BASE TABLE
qsb_metadata,lit_addendum_ashreurov_2014_metadata_integration_run,BASE TABLE
qsb_metadata,lit_addendum_ashreurov_2014_validation_result,BASE TABLE
qsb_metadata,litnote01_catalog_object,BASE TABLE
qsb_metadata,litnote01_claim_boundary_metadata,BASE TABLE
qsb_metadata,litnote01_field_metadata,BASE TABLE
qsb_metadata,litnote01_lineage_edge,BASE TABLE
qsb_metadata,litnote01_metadata_integration_run,BASE TABLE
qsb_metadata,litnote01_validation_result,BASE TABLE
qsb_metadata,scale_mapping_note01_catalog_object,BASE TABLE
qsb_metadata,scale_mapping_note01_claim_boundary_metadata,BASE TABLE
qsb_metadata,scale_mapping_note01_field_metadata,BASE TABLE
qsb_metadata,scale_mapping_note01_lineage_edge,BASE TABLE
qsb_metadata,scale_mapping_note01_metadata_integration_run,BASE TABLE
qsb_metadata,scale_mapping_note01_validation_result,BASE TABLE
qsb_planck_bridge,pbr_admissibility_gate,BASE TABLE
qsb_planck_bridge,pbr_claim_boundary,BASE TABLE
qsb_planck_bridge,pbr_concept_definition,BASE TABLE
qsb_planck_bridge,pbr_external_suggestion_triage,BASE TABLE
qsb_planck_bridge,pbr_field_registry,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_alias_flags,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_criteria_results,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_decision_summary,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_input_lineage,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_next_gate,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_blocke,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_claim_,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_deep_r,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_lineag,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_next_g,BASE TABLE
