old_run_id,proposed_canonical_run_id,rerun_priority,rerun_purpose,required_inputs,required_controls,primary_endpoint,expected_output_files,provenance_status,missing_items,claim_safe_interpretation,note
debroglie_matter_signature,qsb_st_ms_can_01_baseline_matter_signature,high,Reproduce the baseline Matter Signature A-D family and separate matter-sensitive versus mass-only status under predeclared diagnostics.,original Matter Signature descriptor table; mass-only descriptors; matter-sensitive descriptors; tau grid or declared tau handling,mass-only control; shuffled matter descriptors; fixed tau reporting; random seed declaration if stochastic components exist,matter_sensitive_status versus mass_only_status under fixed diagnostics,summary.json; readout.md; canonical_variant_summary.csv; canonical_claim_status.csv; canonical_tau_response.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Highest-priority baseline because it defines whether the recovered Matter Signature line is replayable at all.
debroglie_matter_signature_isotope,qsb_st_ms_can_02_general_isotope,high,Reproduce general isotope sensitivity at surrogate level without overclaiming physical carrier status.,general isotope descriptor table; isotope-pair definitions; baseline mass/wave descriptors,mass-matched controls; isotope-label shuffle; descriptor shuffle,isotope_signature_shift_status under predeclared isotope controls,summary.json; readout.md; isotope_claim_status.csv; isotope_scan.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed","Keeps isotope sensitivity as a controlled marker/modifier question, not carrier proof."
debroglie_matter_signature_isotope_carbon,qsb_st_ms_can_03_carbon_isotope,medium,Reproduce carbon-isotope-specific surrogate signal as a focused isotope test.,carbon isotope descriptor table; carbon isotope pair definitions; baseline descriptors,carbon isotope-label shuffle; mass-matched carbon controls; descriptor shuffle,carbon_isotope_signature_shift_status,summary.json; readout.md; carbon_isotope_claim_status.csv; carbon_isotope_scan.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed","Useful because carbon is central to scanner calibration, but it remains surrogate-level."
debroglie_matter_signature_isotope_strontium,qsb_st_ms_can_04_strontium_isotope,medium,Reproduce strontium-isotope-specific surrogate signal as a chemically distinct isotope test.,strontium isotope descriptor table; strontium isotope pair definitions; baseline descriptors,strontium isotope-label shuffle; mass-matched strontium controls; descriptor shuffle,strontium_isotope_signature_shift_status,summary.json; readout.md; strontium_isotope_claim_status.csv; strontium_isotope_scan.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Useful cross-check against carbon-only specialization.
debroglie_matter_signature_qc,qsb_st_ms_can_05_qc_descriptor,medium,Reproduce QC descriptor surrogate signal and decide whether QC should remain a modifier axis in the minimal canonical set.,QC descriptor table; baseline matter/mass descriptors,QC descriptor shuffle; mass/wave matched controls; descriptor normalization sensitivity,qc_descriptor_status under fixed diagnostic and normalization choices,summary.json; readout.md; qc_claim_status.csv; qc_scan.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Representative descriptor run; shell and valence may be deferred unless QC replay is clean.
debroglie_matter_signature_qc_shell,qsb_st_ms_can_06_shell_descriptor,low,Replay shell descriptor line only after QC representative rerun is clean.,shell descriptor table; baseline descriptors,shell descriptor shuffle; mass/wave matched controls,shell_descriptor_status,summary.json; readout.md; shell_claim_status.csv; shell_scan.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Deferred descriptor-family detail; not needed for minimal first canonical rerun.
debroglie_matter_signature_qc_valence,qsb_st_ms_can_07_valence_descriptor,low,Replay valence descriptor line only after QC representative rerun is clean.,valence descriptor table; baseline descriptors,valence descriptor shuffle; mass/wave matched controls,valence_descriptor_status,summary.json; readout.md; valence_claim_status.csv; valence_scan.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Deferred descriptor-family detail; useful later for chemical interpretation.
debroglie_matter_signature_vdw,qsb_st_ms_can_08_vdw_disambiguation,high,Disambiguate whether VDW adds a matter-sensitive axis beyond wave-only ordering or only reflects score mixing / normalization.,VDW descriptor table; wave-only descriptors; mass/lambda descriptors; tau handling; normalization configuration,wave-only; VDW-only; combined; weight sweep; permuted VDW parameters; mass/lambda-matched species controls; normalization sensitivity; tau-window readout,VDW incremental information beyond wave-only under predeclared weight and normalization sweeps,summary.json; readout.md; vdw_weight_sweep.csv; vdw_permutation_controls.csv; vdw_tau_response.csv; vdw_claim_status.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Critical because old VDW B/C were supported overall but VDW may still be score mixing. This rerun must report off-window tau behavior rather than hide it.
bridge_minimal_model_v1,qsb_st_ms_can_09_bridge_minimal_model,high,"Replay bridge minimal model across k0, n1a_alpha, theta_0.03 and negative/abs/positive channels.",minimal bridge model input tables; channel definitions; theta/tau settings,negative/abs/positive channel comparison; fixed theta/tau; channel-label controls,shared negative/abs upper block versus positive under predeclared channel diagnostics,summary.json; readout.md; channel_status.csv; minimal_model_state.json,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Important for marker-vs-carrier discipline. Must not promote negative alone unless it separates from abs.
n1_negative_vs_abs_v1,qsb_st_ms_can_10_negative_vs_abs,high,Test whether negative separates robustly from abs or remains part of a shared upper block.,N1 negative/abs per-dataset metrics; baseline datasets; channel definitions,dataset-level controls; channel-label swap; fixed metrics,negative_vs_abs_internal_separation_status,summary.json; readout.md; negative_vs_abs_metrics.csv; negative_vs_abs_status.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Protects against overprivileging the negative channel.
