cluster_id,representative_run_ids,script_found,config_found,input_data_found,result_files_found,readout_found,claims_found,state_found,scan_found,tau_response_found,summary_found,metadata_found,variant_reports_found,random_seed_found,environment_known,committed_state_known,reproducibility_status,missing_items,note
bridge_carrier_block_c_v1,bridge_carrier_block_c_v1;bridge_carrier_block_c_v1/variant_reports/full;bridge_carrier_block_c_v1/variant_reports/single_distance;bridge_carrier_block_c_v1/variant_reports/single_grid;bridge_carrier_block_c_v1/variant_reports/single_rigidity;bridge_carrier_block_c_v1/variant_reports/single_spacing;bridge_carrier_block_c_v1/variant_reports/triple_without_distance;bridge_carrier_block_c_v1/variant_reports/triple_without_grid;bridge_carrier_block_c_v1/variant_reports/triple_without_rigidity;bridge_carrier_block_c_v1/variant_reports/triple_without_spacing,true,true,true,12,false,false,false,false,false,true,false,true,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
bridge_carrier_block_d_v1,bridge_carrier_block_d_v1;bridge_carrier_block_d_v1/variant_reports/full;bridge_carrier_block_d_v1/variant_reports/pair_rigidity_grid;bridge_carrier_block_d_v1/variant_reports/single_rigidity;bridge_carrier_block_d_v1/variant_reports/triple_without_distance;bridge_carrier_block_d_v1/variant_reports/triple_without_spacing,true,true,true,8,false,false,false,false,false,true,false,true,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
bridge_carrier_block_e_v1,bridge_carrier_block_e_v1;bridge_carrier_block_e_v1/variant_reports/full_reference;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_only;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_distance;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_grid;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_grid_plus_distance;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_spacing,true,true,true,9,false,false,false,false,false,true,false,true,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
bridge_carrier_leave_one_out_v1,bridge_carrier_leave_one_out_v1;bridge_carrier_leave_one_out_v1/variant_reports/full;bridge_carrier_leave_one_out_v1/variant_reports/minus_distance_to_type_D;bridge_carrier_leave_one_out_v1/variant_reports/minus_grid_deviation_score;bridge_carrier_leave_one_out_v1/variant_reports/minus_simple_rigidity_surrogate;bridge_carrier_leave_one_out_v1/variant_reports/minus_spacing_cv,true,true,true,8,false,false,false,false,false,true,false,true,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
bridge_carrier_minimal_set_block_b_v1,bridge_carrier_minimal_set_block_b_v1;bridge_carrier_minimal_set_block_b_v1/variant_reports/full;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_grid_distance;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_grid_spacing;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_rigidity_distance;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_rigidity_grid;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_rigidity_spacing,true,true,true,9,false,false,false,false,false,true,false,true,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
bridge_minimal_model_v1,bridge_minimal_model_v1;k0/abs;k0/negative;k0/positive;n1a_alpha/abs;n1a_alpha/negative;n1a_alpha/positive;theta_0.03/abs;theta_0.03/negative;theta_0.03/positive,true,true,true,30,true,true,true,false,false,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature,debroglie_matter_signature_run_a;debroglie_matter_signature_run_b;debroglie_matter_signature_run_c;debroglie_matter_signature_run_d,true,true,true,20,true,true,true,true,true,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature_isotope,debroglie_matter_signature_isotope_run_a;debroglie_matter_signature_isotope_run_b;debroglie_matter_signature_isotope_run_c,true,true,true,12,true,true,true,true,false,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature_isotope_carbon,debroglie_matter_signature_isotope_carbon_run_a;debroglie_matter_signature_isotope_carbon_run_b;debroglie_matter_signature_isotope_carbon_run_c,true,true,true,12,true,true,true,true,false,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature_isotope_strontium,debroglie_matter_signature_isotope_strontium_run_a;debroglie_matter_signature_isotope_strontium_run_b;debroglie_matter_signature_isotope_strontium_run_c,true,true,true,12,true,true,true,true,false,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature_qc,debroglie_matter_signature_qc_run_a,true,true,true,4,true,true,true,true,false,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature_qc_shell,debroglie_matter_signature_qc_shell_run_a,true,true,true,4,true,true,true,true,false,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature_qc_valence,debroglie_matter_signature_qc_valence_run_a,true,true,true,4,true,true,true,true,false,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
debroglie_matter_signature_vdw,debroglie_matter_signature_vdw_run_a;debroglie_matter_signature_vdw_run_b;debroglie_matter_signature_vdw_run_c,true,true,true,15,true,true,true,true,true,false,false,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
n1_a1_b1_decoupling_v1,n1_a1_b1_decoupling_v1;n1_a1_b1_decoupling_v1_k0.summary;n1_a1_b1_decoupling_v1_n1a_alpha.summary;n1_a1_b1_decoupling_v1_theta_003.summary;n1a_alpha_tau_0.02.summary;n1a_alpha_tau_0.0225.summary;n1a_alpha_tau_0.025.summary;n1a_alpha_tau_0.0275.summary;n1a_alpha_tau_0.03.summary,true,true,true,13,true,false,false,false,false,true,true,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
n1_alt_neighborhood_v1,n1_alt_neighborhood_v1,true,true,true,8,true,false,false,false,false,true,true,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
n1_alt_neighborhood_v2,n1_alt_neighborhood_v2,true,true,true,8,true,false,false,false,false,true,true,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
n1_alt_neighborhood_v22,n1_alt_neighborhood_v22;n1_alt_neighborhood_v22_summary_k0;n1_alt_neighborhood_v22_summary_n1a_alpha,true,true,true,10,true,false,false,false,false,true,true,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
n1_exportclass_nullmodel_v1,n1_exportclass_nullmodel_v1,true,true,true,5,true,false,false,false,false,true,true,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
n1_negative_vs_abs_markers_v1,n1_negative_vs_abs_markers_v1,true,true,true,5,true,false,false,false,false,true,true,false,false,true,false,partial_replay_candidate,random_seed;committed_state,Recovered result artifacts exist and candidate scripts appear present in the recovered project tree. Manual mapping is still required before canonical rerun.
