family_id,system_id,node_count,edge_count,degree_distribution,bonding_organization_contrast_summary,proxy_smuggling_risk
ethyne_linear_sp_reference,ethyne,2,1,"{""1"": 2}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
ethyne_triple_bond_proxy,ethyne,2,1,"{""1"": 2}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
benzene_planar_sp2_reference,benzene,6,6,"{""2"": 6}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
benzene_aromatic_uniform_proxy,benzene,6,6,"{""2"": 6}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
c60_curved_sp2_cage_reference,c60,60,90,"{""3"": 60}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
c60_bond_class_environment_proxy,c60,60,90,"{""3"": 60}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
adamantane_sp3_cage_reference,adamantane,10,12,"{""2"": 6, ""3"": 4}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
adamantane_sigma_framework_proxy,adamantane,10,12,"{""2"": 6, ""3"": 4}",method_level_carbon_skeleton_ladder_scaffold_only,synthetic_reference_control_or_label_proxy_only
hybridization_label_shuffle_control,control,declared_control_family,declared_control_family,declared_control_family,declared_control_no_null_ensemble_yet,label_or_topology_control_must_be_instantiated_before_use
topology_matched_random_control,control,declared_control_family,declared_control_family,declared_control_family,declared_control_no_null_ensemble_yet,label_or_topology_control_must_be_instantiated_before_use
bond_order_shuffle_control,control,declared_control_family,declared_control_family,declared_control_family,declared_control_no_null_ensemble_yet,label_or_topology_control_must_be_instantiated_before_use
carbon_skeleton_degree_control,control,declared_control_family,declared_control_family,declared_control_family,declared_control_no_null_ensemble_yet,label_or_topology_control_must_be_instantiated_before_use
